Name,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
aaaD,2.45,1.125,2.015,3.63,5.315,3.985,4.405,5.725,3.65,4.225,5.065,4.4,6.075,4.94,4.78,6.39,4.34,6.72,3.855,4.45,1.8,2.01,4.425,1.17,2.66,1.855,2.665,1.115,0.715
aaaE,1.4325,1.225,1.775,1.305,1.175,2.465,1.86,1.3,1.275,1.855,2.23,2.075,1.915,1.8,2.225,2.82,2.675,2.605,1.94,1.86,1.7,1.81,2.005,1.85,1.21,1.305,1.165,0.605,0.97
aaeA,4.6975,2.785,2.46,3.295,2.23,1.915,3.225,2.445,2.65,2.85,3.505,3.52,4.97,4.15,5.085,3.93,4.795,5.495,3.265,3.05,9.16,5.75,6.79,6.785,5.74,4.19,2.88,3.375,3.565
aaeB,6.8375,4.505,4.625,6.755,5.86,5.82,5.82,5.02,5.175,4.775,5.33,3.845,5.245,4.66,5.33,5.4,5.82,5.875,5.59,3.92,10.215,6.815,8.72,10.64,8.23,6.54,4.23,5.89,5.23
aaeR,52.7575,15.54,14.01,15.975,13.335,16.61,21.515,14.955,18.265,19.28,17.755,15.295,17.64,14.67,18.155,19.82,18.975,27.985,22.09,20.52,73.72,64.065,95.125,70.9,69.49,57.565,46.66,46.005,51.05
aaeX,9.6825,5.555,1.81,2.915,1.94,2.245,3.82,2.685,2.01,3.685,4.05,2.03,4.5,0.5,2.95,4.61,5.615,2.79,4.98,1.8,17.22,12.58,13.225,14.1,18.83,7.735,14.25,9.42,3.85
aas,54.3,26.06,26.925,31.72,31.72,30.94,30.885,22.575,19.785,18.86,17.225,18.31,15.185,13.81,20.06,17.46,19.95,23.18,21.53,19.92,29.79,24.765,33.075,39.525,38.56,36.92,32.235,36.15,45.24
aat,62.9725,67.345,29.095,50.48,50.935,41.11,39.755,25.75,30.5,20.795,21.97,14.405,14.805,14.44,12.975,16.54,13.745,17.71,17.115,10.54,101.8,71.2,68.24,88.08,78.04,59.72,43.475,40.2,54.57
abgA,1.93,2.665,2.46,2.85,2.49,2.725,2.475,2.41,3,2.765,1.965,2.42,1.6,1.24,1.725,1.94,1.8,2.095,1.615,1.47,3.4,3.655,4.31,3.015,4.08,4.04,2.635,2.41,2.595
abgB,5.085,5.4,9.26,9.13,10.005,11.35,14.88,10.815,13.295,13.185,13.21,13.905,15.15,12.67,14.38,12.49,13.045,12.35,11.53,9.07,5.985,4.665,6.8,7.705,9.3,8.36,6.39,5.745,4.615
abgR,10.52,17.14,9.295,11.92,11.93,9.38,9.16,6.885,5.685,6.065,5.285,3.77,3.625,3.92,3.3,3.52,3.535,4.765,4.015,4.04,11.655,9.165,9.585,8.615,8.75,7.38,6.01,7.475,5.79
abgT,3.83,3.255,2.795,2.25,3.37,3.04,2.985,1.88,1.665,2.325,1.94,1.555,1.455,1.47,1.805,2.34,1.46,1.405,0.755,0.96,3.66,3.18,4.275,6.14,4.22,4.19,2.495,2.88,2.9
abrB,25.015,3.7,4.46,3.5,3.34,2.19,4.195,3.43,3.11,3.54,2.885,4.175,2.87,3.31,3.9,4.58,4.55,4.605,2.795,2.72,12.75,15.83,17.24,21.045,17.56,17.31,19.08,21.985,24.16
accA,393.8275,144.83,80.225,120.78,110.505,105.08,101.92,87.16,86.38,80.34,81.925,69.955,66.88,60.44,72.085,61.44,65.67,79.535,69.645,59.05,428.335,436.39,505.63,388.365,409.61,367.26,287.855,290.965,272.09
accB,552.1575,121.725,73.41,56.78,52.74,35.4,35.735,36.75,40.68,33.685,44.38,46.31,45.585,37.17,60.13,50.33,61.865,50.005,50.25,56.09,809.635,714.695,483.795,440.945,326.55,320.435,321.55,305.365,325.555
accC,810.705,154.665,64.8,40.54,40.065,37.335,37.18,34.72,40.15,45.185,40.945,52.95,51.105,47.43,79.985,71.14,89.275,87.44,71.63,75.15,1015.49,1054.15,883.84,548.92,435.09,504.995,560.44,545.115,591.515
