Name,CCM,log2FoldChange,Cluster,Score
BC332_05016_mrna,0.5501211581318566,27.44212666361188,7.0,1.0
BC332_07078_mrna,-0.014144357478542383,28.05525344320729,7.0,0.8799536657501048
BC332_24622_mrna,0.9987427073043782,0.3640324581620333,1.0,0.8183170498082517
BC332_25876_mrna,0.992972841730011,0.0014111101362855073,1.0,0.8136767584928819
BC332_33178_mrna,0.9908397325297997,0.08486126804700853,7.0,0.813302392647276
BC332_27291_mrna,0.9889230060205546,0.03630730374562516,1.0,0.8122078189117281
BC332_16456_mrna,0.9859498690118675,0.09212007742057035,7.0,0.8113167178733334
BC332_23423_mrna,0.9816898857603711,0.19314532762663955,3.0,0.8101757477140337
BC332_19430_mrna,0.9740271206405989,0.4119632730883392,7.0,0.8083790047297132
BC332_19931_mrna,0.9674887565097987,0.1397608164695318,7.0,0.8039535015048513
BC332_07900_mrna,0.964198370578796,0.35122636807275126,1.0,0.8039239194787715
BC332_25106_mrna,0.9530287355338025,0.7535321974824107,7.0,0.8019151387045242
BC332_15057_mrna,0.9531539523304571,0.701905053206737,1.0,0.8016270200841391
BC332_05730_mrna,0.9966919390769023,0.404128017679289,1.0,0.800987055924276
BC332_09117_mrna,0.9987965244118173,0.2334618311840264,1.0,0.8007894470321304
BC332_20878_mrna,0.957432774509756,0.2090758409441673,1.0,0.8002219179875925
BC332_16523_mrna,0.9584426063125879,0.03004932864302731,7.0,0.7995187037724361
BC332_28995_mrna,0.9969332097502739,0.15107284602338994,1.0,0.7994824320538421
BC332_21792_mrna,0.9576776435671749,-0.007136441314811003,3.0,0.7989704871243699
BC332_09953_mrna,0.9901185190142348,0.5074209471338945,1.0,0.7988797184313783
BC332_29823_mrna,0.9488882705995119,0.5149690617590427,1.0,0.7986456215978888
BC332_06372_mrna,0.9527660906081359,0.06399732407423914,1.0,0.797377135609501
BC332_12816_mrna,0.9925072013022378,0.107539772545705,1.0,0.7973373587289088
BC332_26182_mrna,0.9517835201137562,0.08950451678218894,7.0,0.797129643294739
BC332_12516_mrna,0.9887480313958429,0.09784774951611731,1.0,0.795686807731026
BC332_20938_mrna,0.9389638996354448,0.6400263917442339,2.0,0.7953666137300486
BC332_08818_mrna,0.9841066780805325,0.3432912585390504,1.0,0.795284717051788
BC332_28947_mrna,0.9852238029454508,0.22875342082220718,1.0,0.7950246835583237
BC332_25080_mrna,0.9474037421652212,-0.049422709153702254,7.0,0.7944474417728626
BC332_07015_mrna,0.93758001253083,0.5278755258966976,7.0,0.7940606376502526
BC332_03288_mrna,0.9813178701833412,0.25817344862021785,7.0,0.7935624789691236
BC332_22088_mrna,0.9749947508799398,0.6672121621740674,1.0,0.7935538408274141
BC332_25145_mrna,0.9460130668283474,-0.10999146107526245,1.0,0.7934953520738475
BC332_04548_mrna,0.9784498822024004,0.29700410305765357,3.0,0.7926001161850378
BC332_11101_mrna,0.9924218787312824,-4.179947995971443,6.0,0.7923210422116902
BC332_10596_mrna,0.9737306372871866,0.5414310502040892,7.0,0.7921940941966419
BC332_18188_mrna,0.9755349581786266,0.40160323090250594,7.0,0.7920441855505858
BC332_19668_mrna,0.9333723460844214,0.4799195403425187,3.0,0.7920112163682089
BC332_14596_mrna,0.9277793631063573,0.7439093082664495,7.0,0.7914452363405451
BC332_06786_mrna,0.9769506788503026,0.17706032454890858,1.0,0.7912012530341272
BC332_08906_mrna,0.9672496263044934,0.5577831907750795,7.0,0.7895716223038693
BC332_00186_mrna,0.94360643412375,-0.6125581647325469,6.0,0.7894496876113952
BC332_23006_mrna,0.9732884667571311,0.12814192521855583,3.0,0.7893434451038439
BC332_03490_mrna,0.928811744177336,0.3371454919471727,6.0,0.7892018932942801
BC332_03347_mrna,0.9713916926935519,0.1296082308087274,7.0,0.7885513755372167
BC332_16646_mrna,0.9686422631393775,0.276106452911367,1.0,0.7883266458340907
BC332_10134_mrna,0.925975124561494,0.3274438269308181,3.0,0.7879676191765816
