Name,0010-04-02,0011-04-02,0011-07-18,0011-09-26,0011-11-21,0011-12-04,0012-01-05,0012-02-06,0012-03-09,0012-04-02,0012-06-02,0012-10-28,0012-11-01,0012-12-07,0013-01-22,0013-02-06,0013-04-11,0013-06-05,0013-08-07,0013-10-03,0013-11-01,0013-12-18,0014-01-08,0014-03-21,0014-04-24,0014-06-02,0014-08-04,0014-09-12,0014-11-18,0014-12-13,0015-01-05,0015-03-31,0015-06-17,0015-07-01,0015-08-11,0015-09-08,0015-10-13,0015-12-15,0016-01-05,0016-02-24,0016-04-21,0016-05-09,0016-06-09,0016-07-05,0016-08-22,0016-10-04,0016-12-19
A1BG,3.650804,4.0838249,3.8371835,3.695491,3.06245,2.652112,3.012609,1.807903,3.0619582,2.6475363,2.533305,4.060207,4.029378,3.2997715,4.817942,4.08495,4.461173,1.880329,4.1676648,5.043493,3.94325,3.63693,2.5267686,3.220187,4.904488,5.0157991,4.4286914,3.5043074,4.1909696,3.8152721,4.137146,4.30335,3.955534,2.995792,3.3337872,3.9621689,3.4866686,3.487695,4.46101,2.497556,3.8856306,3.603288,3.7145642,3.041129,3.1932383,3.883547,3.51637
A1BG.AS1,0,2.0674451,0,1.761752,2.644499,2.652112,2.734694,1.170351,1.7867432,2.4630163,1.3764688,1.696111,3.115129,0.8514607,4.208651,1.872528,0,1.880329,2.3336842,2.612755,0.925185,1.028578,1.6621629,0,3.04221,2.3275533,1.9759024,1.9343488,1.7012785,2.3466945,1.507901,2.247569,1.692865,2.498541,1.4232833,2.044586,2.6882126,3.197567,3.370727,0,0,0.763061,1.7763482,1.3823721,1.3946916,1.907601,1.769721
A1CF,1.474314,0,0.9630762,1.134581,1.632787,1.465691,2.390154,1.807903,1.5047543,1.3245577,2.0678597,1.318178,3.403366,0.8514607,1.557436,2.660717,2.645389,0,0,2.27427,2.200288,2.367384,2.7287384,1.915722,0,2.3275533,0.9839797,0.9565661,1.7012785,0,1.507901,2.584585,0,1.112889,0,1.0298765,2.1385573,1.015614,2.171211,1.112246,0,2.555721,1.1458665,0,2.0903951,0,0.850634
A2M,9.828028,8.9555646,9.7099044,10.197011,9.670978,9.670698,10.012977,8.837604,8.9576712,8.4637993,9.5699518,9.139687,10.920518,7.4086154,10.149605,10.488406,12.205019,8.222343,8.0817912,9.660779,9.442676,10.238947,9.7233428,9.312935,10.59114,10.4902343,8.4835684,8.8308352,9.4860326,9.8653297,10.531241,10.738061,9.138813,8.763937,6.2028158,8.1959321,10.622059,9.64757,11.150235,10.109476,8.3512313,10.142467,6.6589993,8.8772358,9.3735612,9.989298,8.511325
A2M.AS1,0,0,0,0,0,0,0,0,0,0,0,0.804677,0,0,0,0,0,0,0,0,0,0,1.6621629,0,2.207505,0,0.9839797,0.9565661,0,0,0,0,0,0,0.7422484,0,0,0,1.116368,1.112246,0,0.763061,0,0,0,0,0
A2ML1,2.188093,1.376134,2.2623877,1.134581,1.632787,0,0,0,0.6893777,2.0032863,0.8465218,0.804677,2.754552,2.5424961,2.288832,0.916282,2.645389,0,0,0,0.925185,0,0.5190198,1.915722,0,1.7704993,1.5635623,1.5267552,0.8078742,1.7874094,2.228948,2.247569,2.12084,0,1.2299333,1.0298765,1.6049865,2.023357,3.001447,2.165256,0,2.373655,1.1458665,2.0751675,1.3946916,2.223154,1.382162
A2MP1,6.061885,5.2667636,5.8571782,6.404092,6.479729,5.751107,6.350507,5.219915,4.9261994,4.6907108,5.9274708,4.593915,6.927388,3.6159549,6.18789,6.529607,8.420726,3.848793,4.1012836,5.705067,5.731667,6.640984,5.9553678,5.503617,6.8679,6.6187189,4.6694719,5.0436638,5.8591715,5.7798582,6.939007,6.693038,4.85361,4.853337,2.5133556,4.1851146,6.8066438,5.984761,7.372331,5.884866,4.2760575,6.415279,3.0490625,5.0150626,5.3831197,5.921802,5.084703
AAED1,1.874904,2.0674451,2.5228871,2.80276,2.37913,1.465691,0,0,0,1.3245577,1.7631913,1.318178,2.272706,1.3833054,1.557436,3.303409,0,0,0,3.489724,3.034114,1.622941,2.9058746,1.915722,0,0.8511247,1.5635623,1.5267552,1.322655,1.7874094,1.507901,0,1.692865,1.7336,1.4232833,0.6049488,0,1.605743,2.171211,2.497556,1.1032501,1.628196,0.6838266,2.3269447,1.784079,0.939063,2.727496
AAGAB,1.874904,1.376134,0.9630762,2.531617,2.053692,3.532534,3.245536,2.248533,1.5047543,2.0032863,2.0678597,1.696111,3.8493,0.8514607,3.662184,1.872528,4.277854,0,1.3875633,2.612755,2.458025,2.632282,2.2918487,2.710625,3.04221,3.0417967,0,2.7320763,3.2105338,0.8618085,3.353295,3.284995,0,1.112889,0.7422484,1.624662,3.1965623,3.613459,3.908434,1.112246,2.4837579,1.259529,1.1458665,1.7699621,1.3946916,3.210318,1.382162
AAK1,1.874904,0.8462802,2.2623877,0,1.632787,2.177571,1.271452,1.170351,0.6893777,1.7034735,1.7631913,0.804677,4.029378,1.3833054,4.714956,2.660717,3.151366,1.226998,2.0815878,2.27427,2.866412,2.632282,4.0520096,3.220187,2.207505,0.8511247,0.9839797,0.9565661,0,0.8618085,2.228948,2.584585,1.081674,1.7336,1.7461978,1.8498487,3.6520196,2.610892,1.738123,1.732764,2.3274962,1.628196,1.7763482,2.3269447,0,2.481922,1.382162
AAMDC,3.650804,2.8841827,0,3.822835,2.644499,2.652112,3.622035,1.170351,2.2251289,2.8111101,2.7196487,3.420592,5.149365,1.7710322,5.169101,3.427566,2.645389,1.880329,0,3.31531,3.034114,3.859985,3.1364644,1.915722,4.505418,4.2238818,0.9839797,2.9231105,3.0885317,2.7487199,4.840936,4.4753,2.718625,1.7336,0.4183415,1.8498487,4.710602,3.935901,4.46101,2.767464,1.9526889,3.759963,1.7763482,3.041129,2.5577704,2.481922,1.382162
AAMP,2.445273,3.4024919,0.9630762,1.761752,0,2.177571,2.734694,1.170351,2.7033865,2.6475363,2.0678597,1.99531,3.403366,2.5424961,3.421763,1.872528,3.151366,2.945603,2.9002304,2.612755,2.676621,1.622941,3.5098924,0,4.255032,3.6152625,3.6707235,2.2517921,0.8078742,2.5616658,1.507901,1.807031,1.081674,1.112889,1.2299333,1.624662,2.6882126,2.023357,3.001447,1.112246,2.1522302,1.92157,1.4952781,1.7699621,1.784079,1.907601,3.51637
AANAT,4.088025,4.2743187,3.2547694,3.030917,4.066809,0,4.049151,2.585602,3.2594577,1.7034735,2.533305,1.99531,2.272706,2.328157,1.557436,3.838819,5.024136,1.880329,2.7349315,3.31531,2.676621,3.049645,3.1364644,1.915722,5.473303,4.9422587,3.1413203,3.0917814,2.4604228,3.062784,3.977434,4.700004,2.718625,1.7336,2.1256193,3.6392721,3.9976669,4.116714,3.664488,3.518079,2.7531567,2.555721,1.7763482,2.5412422,2.7447278,3.346649,3.175194
AARS,1.874904,2.7191868,1.9442538,1.761752,2.37913,0,1.271452,1.170351,0.6893777,1.7034735,0.8465218,0,1.544062,0,0,0.916282,0,0,0,1.188512,1.88627,0,2.631285,2.710625,3.04221,1.3828406,2.2962095,0.9565661,0,0,1.507901,1.807031,1.692865,1.112889,1.2299333,0,1.2395728,2.346829,0,1.112246,1.9526889,0,1.4952781,0,0.8597006,0.939063,1.769721
AASDH,0.917819,0.8462802,0,1.134581,0,0,0,1.170351,0,0,1.3764688,0,0,0,0,1.472223,0,1.226998,1.3875633,0,0.925185,1.622941,1.2009713,0,0,0,2.2962095,1.5267552,0.8078742,0,0,0,0,0,1.0066004,1.624662,1.2395728,0,1.116368,1.112246,0.6546103,0,0,0.8507861,0,1.503128,0.850634
AATF,2.188093,0.8462802,0,0,1.036016,1.465691,0,0,0,0.8092337,0.8465218,0.804677,2.754552,1.3833054,2.771866,1.872528,0,0,0.8545399,1.188512,1.88627,2.367384,3.3352271,0,0,0,0.9839797,0.9565661,0.8078742,0,0,0,0,1.112889,1.2299333,0.6049488,2.1385573,1.605743,1.738123,0,0,0.763061,0,0.8507861,1.3946916,1.503128,2.54096
AATK,0.917819,0,0,1.761752,1.632787,0,1.936625,1.170351,0,0.8092337,0,1.318178,0,1.3833054,2.771866,1.872528,0,0,0.8545399,0,1.88627,1.028578,0.8999201,0,0,0.8511247,0,0,0.8078742,0,0,1.807031,1.081674,1.112889,0,0.6049488,1.8962997,0,0,1.732764,0,0,1.1458665,0.8507861,0.8597006,1.907601,0
ABAT,0,0,0,0,1.036016,0,0,0,0,0,0,0.804677,1.544062,1.3833054,0,0,1.859302,1.226998,0.8545399,0,0,2.042657,2.414085,0,0,1.7704993,0.9839797,0,0,1.3976003,0,1.169673,0,0,0.4183415,1.0298765,1.6049865,1.015614,0,0,0,1.259529,1.4952781,0.8507861,0.8597006,0,0.850634
ABCA1,0,2.5328545,2.9347496,2.197439,2.053692,3.008599,3.245536,1.170351,2.2251289,2.6475363,1.7631913,2.242991,1.544062,1.3833054,2.288832,1.872528,1.859302,1.226998,0,2.612755,2.200288,2.632282,2.1582887,0,0,1.3828406,0,2.2517921,1.7012785,2.093986,2.707498,2.85759,1.081674,0,0,1.624662,2.5271957,1.605743,2.503862,3.191047,1.7210501,3.330865,2.0114866,1.3823721,2.3429269,0.939063,1.382162
ABCA12,1.474314,0.8462802,2.2623877,2.197439,0,0,1.936625,0,0.6893777,0.8092337,0.8465218,1.318178,2.754552,0,2.288832,0,2.645389,1.226998,0,0,0.925185,1.028578,0.5190198,0,0,2.0757471,0,0.9565661,0,0.8618085,1.507901,2.247569,1.692865,1.112889,0.7422484,1.3577064,2.9646629,2.023357,3.001447,1.112246,0.6546103,2.373655,0,0.8507861,1.3946916,1.503128,0
ABCA17P,0,0.8462802,0,0,0,0,0,0,0,0.8092337,0,0,0,0.8514607,1.557436,1.472223,0,0,0,0,0,0,0,0,2.207505,0.8511247,0,0,0,0,1.507901,1.807031,0,0,0,0,1.2395728,1.015614,1.116368,0,0,0,0,0,0,0,0
ABCA2,0,0,0,0,0,0,1.271452,0,0,0.8092337,0,0,0,0,1.557436,0.916282,0,0,0,1.831209,0,0,2.631285,0,2.207505,0,0,0,0,0,0,2.247569,0,0,0,0,1.6049865,1.015614,0,0,0,0,0,0,0,0,0.850634
ABCA3,0.917819,0,0,2.197439,1.036016,0,1.271452,0,0,0,0,0,1.544062,0.8514607,2.771866,1.872528,2.645389,0,0.8545399,0,0,0,2.011091,0,0,0.8511247,0,0.9565661,0.8078742,0,2.228948,2.85759,1.081674,0,0,0.6049488,1.2395728,1.605743,0,0,0,1.92157,0.6838266,0.8507861,0.8597006,1.907601,2.074907
ABCA4,0,0,0.9630762,1.134581,0,0,0,0,0,0,0,0.804677,0,0,0,1.472223,0,2.328372,0,0,0,1.622941,0,0,3.04221,0,0.9839797,0,0,0.8618085,0,0,0,0,0,0,0.7490133,0,0,1.112246,1.1032501,1.259529,0,1.7699621,0,0.939063,0.850634
ABCA7,0.917819,0.8462802,0,0,1.036016,2.177571,1.271452,1.807903,0.6893777,0.8092337,0.8465218,0,2.272706,0.8514607,2.288832,1.872528,2.645389,0,0,0,0.925185,1.028578,3.1364644,0,0,0,1.5635623,0.9565661,1.7012785,0,2.228948,1.169673,1.081674,0,1.2299333,1.0298765,3.0852671,1.015614,0,1.112246,0.6546103,0.763061,0,0.8507861,0,0,0
