Name,0010-04-02,0011-04-02,0011-07-18,0011-09-26,0011-11-21,0011-12-04,0012-01-05,0012-02-06,0012-03-09,0012-04-02,0012-06-02,0012-10-28,0012-11-01,0012-12-07,0013-01-22,0013-02-06,0013-04-11,0013-06-05,0013-08-07,0013-10-03,0013-11-01,0013-12-18,0014-01-08,0014-03-21,0014-04-24,0014-06-02,0014-08-04,0014-09-12,0014-11-18,0014-12-13,0015-01-05,0015-03-31,0015-06-17,0015-07-01,0015-08-11,0015-09-08,0015-10-13,0015-12-15,0016-01-05,0016-02-24,0016-04-21,0016-05-09,0016-06-09,0016-07-05,0016-08-22,0016-10-04,0016-12-19
C8H15NO,38733.88,42774.05,50735.08,40188.55,67752.83,37870.05,41958.63,47929.77,35008.81,70079.97,55301.6,52759.48,26899.98,47603.43,55675.61,53292,52605.69,183474.7,170272.1,176958.1,43691.89,156766.9,212927.5,193406,203074.1,241152.3,146418,224514.5,312381.8,208820.5,352290.7,35618.86,375708.3,454645.3,328685.8,601220,42376.17,311609.3,426355.1,428112.6,340496.3,367620.6,345623.2,39030.58,34678.46,29272.07,25234.22
C7H10N4O3,59952.15,88820.77,23641.33,48467.53,25309.82,19160.76,58984.04,20522.11,36318.1,7289.765,31358.65,19048.01,22687.48,31607.34,13572.51,34674.42,32754.03,44407.44,22540.34,58897.19,152154.2,472168.8,567330.7,90711.11,87425.06,758096.6,47735.52,256217.6,384703.8,13069.31,647157.4,73536.81,60126.17,1139070,36679.22,45164.28,70327.93,282725,371224.5,79047.56,49960.25,146202.3,67020.82,1092915,440555.8,190341.8,29552.51
C9H15NO,10619.35,8374.748,8373.919,9898.967,9996.353,7389.771,10728.48,9451.181,8010.199,10408.02,10327.49,8012.031,6451.037,9047.847,7028.456,10307.23,9253.403,2033831,1625676,2011581,7910.95,2148791,2240981,2262687,2471539,2177372,1815989,2318072,4077079,3007520,4815203,9398.304,5116930,4873573,4148928,5319716,10073.42,4414886,4243446,5064937,2694907,3135814,2529993,11159,9358.187,12047.28,3134.598
Sphinganine,216496.4,381849.5,330031.5,263583.2,202525,271303.9,233856.8,190021.7,209952.6,305608.1,183139.7,270715.8,532175,222931,164559.1,186691.7,237127.3,176918.4,135973.1,167627.1,240570.7,279239.2,298300.4,217681.3,316630.7,267242,201515.4,306182.7,252787.7,137136.1,207422.6,360244.1,200731.9,173091,861832.3,157778.8,266381.3,186398.7,285778.8,239104.1,690312.2,277684.9,207894.6,303238.8,310258.2,195385.4,273808.6
PC(P-38:6),2236.876,1183.616,954143.2,853153.2,601548.7,26.73662,345.5541,229737.1,609.1163,229.3132,629.4948,404.5557,468552.1,2735924,140.4673,239.1696,590.5349,106541.8,56278.81,10.13496,522.1292,168.1592,59.94557,200143.8,377669.2,493611,1919.336,331621.5,238616.7,90590.27,54495.7,16946.05,137071,196440.9,769146.1,84613.86,7753741,41917.89,442098.4,549294.3,972452.6,3644167,200613.3,577551.1,16.73821,125295.4,141241100
C11H16N2O5,312380.9,309545.6,355992.2,266601.8,301992.9,242672.1,280861.4,273187.2,295688.2,267601.8,261104.1,225923.5,240184.6,311251.3,321609.2,321499.2,289891.2,352478.7,323031.2,406007,226567.7,444617.5,298369.7,384375.9,371818.9,463103.8,496976.9,641041.4,421070.5,452783,394817.1,348835.3,385161.2,680373.5,413283.5,471643.3,445245.1,381176.6,671494.8,662452.9,471716.5,434698.7,513440,489233.5,348371.6,448957.7,309225.3
Creatinine,78940410,85277810,95480250,86363340,91128820,93937070,94373030,88730580,86749720,85161230,81125810,73213720,83128560,93985940,85195480,86350720,90472880,99355030,93910300,103147300,76881290,111313100,91036600,102653200,110530400,115510300,78909780,112429900,111379700,98225000,103527500,88571330,97295000,113908700,90792770,103914600,99017180,106046600,102788400,107141100,86364320,107744400,95903410,98516920,99942300,107030800,100135700
PE(P-40:6)(1),1179171,1839798,1741585,3191230,1264510,2944086,2073351,964384.8,3221806,3049548,1603455,2658642,1580290,1609378,1443472,1881579,2549007,4048015,3196399,1856289,1631120,5627077,1508327,2317552,1458878,4612019,5748455,5739806,877087.3,4592198,1041757,1187112,766645.3,809551.3,33601310,293078.6,1794419,6262619,9652347,5558643,25442020,2424267,1290617,4951277,1647787,10673660,1080188
Hypoxanthine,4149377,3335844,2108242,6005921,6189391,9213926,2461826,2715190,6187061,2886070,3925335,6300473,4131259,8955809,5962619,4096117,6274750,5814756,5867314,5863118,2179352,9873373,8095800,8769905,9648501,3018286,4536077,7809541,3261574,3242290,3366978,3383250,2783685,4859216,1891282,4907782,3341168,4461515,5451476,3500849,3047620,4778214,3083697,5190730,5684621,8879838,2496818
PE(P-38:5)(2),7220748,10564760,7729021,19973610,6994137,10560240,15774710,3877291,19237710,11355130,9199154,15143000,5939569,9470379,9060966,7925369,18943410,5369633,2946633,2738628,11055540,8612480,4783672,3803541,5427687,8389620,8089147,8417566,1558832,4050365,3884167,5212866,3278242,3432567,24934340,3057091,2733194,7764021,11930480,8808879,25880010,3373466,11422940,7276206,3978591,5476787,5431192
PE(38:6)(2),5033578,4312426,1447510,7183590,1695579,2067594,3673665,738710.6,3599259,2150670,2952117,4186030,1012164,1657345,2408269,2318096,3621920,853265.4,531266.3,337714.4,3186562,910883.6,300964.6,497678.8,720600.8,782941,2718151,1281361,176596.9,488425.4,337715.8,360635.5,153753.1,182494.2,2266493,63357.7,355313.6,828135.2,879732.1,393443.8,575867.9,398184.4,292208.9,398825.1,371642,838294.9,493168.6
PC(35:4)(2),4286804,6622454,3031807,12086170,3647682,3588293,4911840,1266206,6045752,2448036,4634203,7669516,2305342,3465621,3625174,2616684,7410464,524528.7,585663.6,752343,6358919,2205276,1043296,1236737,1437271,1487167,1622381,2011735,418136.9,346780.2,476007.4,738425.3,1082874,482616.5,5076838,325492.1,702806.2,340479.9,1741259,1091396,3404541,915530.4,1135113,796113.2,964074.7,565992.1,1262543
PC(33:4)(2),3798839,3490718,1571959,19440610,2436905,2092553,4239514,628114,5060856,1560940,3617881,5724493,1179097,2879890,2472960,1621516,6385949,163208.5,246694.3,217084.6,3713703,990935.5,366458.8,403530.3,347726.4,554214,2006723,1231570,329285,105730,689157.5,301806.1,329660.4,214668.1,2487449,172842.5,223708.5,704148.6,850118.9,371869.5,1213850,316221.7,360909.6,324429.3,322649.7,489848.7,303492.6
PE(36:5),400488.1,181674.6,127436.5,130993.6,108192.4,105232.3,175599.2,91764.14,117020.3,242847.3,181116.9,275064.5,179483.4,77708.14,117503.8,181487.6,190294.5,108177,129626,188971,162899.7,1188275,155214.4,298007.3,37460.65,70826.81,1218666,17315.07,327902,49059.57,239109.5,134233.2,45429.68,17256.14,93752.3,143757.1,201675.9,60807.03,65206.86,110334.4,29936.96,287031.8,73271.86,53422.02,120397.2,54282.66,104782.1
PE(34:2),1856407,1954352,1431905,1137014,1144484,812077.3,786590,616987.2,678558.9,1312151,1233789,1864152,1386789,836488.9,820922.8,983757.9,1750977,767195.8,759256.4,692329.9,1462016,2097047,1025166,1294386,661511.3,909509.1,1844232,1308161,1089176,399246.9,1102591,1105590,569883.8,293204.1,2432032,930198.9,606069.8,530654.3,784122,284519.1,663705.6,1048838,655578.9,611048,934183.5,356677.4,1055675
