"index","log2FoldChange"
"BC332_24630_mrna",0.510370644791831
"BC332_28045_mrna",-0.0973831838635585
"BC332_26522_mrna",0.624383351179304
"BC332_20665_mrna",0.386839242311201
"BC332_18933_mrna",-2.62255591091835
"BC332_02545_mrna",-0.388904456461548
"BC332_06096_mrna",-1.59226036230675
"BC332_32874_mrna",0.432859481599298
"BC332_09241_mrna",-0.26758506493459
"BC332_16236_mrna",0.219782744557991
"BC332_25027_mrna",-0.14501149599624
"BC332_32511_mrna",0.24917826680297
"BC332_05363_mrna",-1.04830055246712
"BC332_33234_mrna",0.72193971997952
"BC332_34447_mrna",-0.704541708041373
"BC332_30765_mrna",0.125360377270013
"BC332_12368_mrna",0.188217517261711
"BC332_12440_mrna",-0.106341010572664
"BC332_11632_mrna",1.25888171375804
"BC332_13300_mrna",2.36707895685448
"BC332_23248_mrna",0.727237028514296
"BC332_29925_mrna",-0.261524790874648
"BC332_19506_mrna",2.02865230516529
"BC332_19763_mrna",-0.160910412019039
"BC332_16966_mrna",-0.161125757028851
"BC332_20029_mrna",-4.31525886196355
"BC332_26875_mrna",0.376325120348073
"BC332_32638_mrna",0.500514225040963
"BC332_30389_mrna",NA
"BC332_12248_mrna",2.11600964826016
"BC332_13166_mrna",-2.51337366046566
"BC332_23768_mrna",1.11129642165925
"BC332_17319_mrna",NA
"BC332_03903_mrna",-2.7152142044822
"BC332_13133_mrna",NA
"BC332_21317_mrna",-0.558183704144333
"BC332_10040_mrna",-0.347071786884308
"BC332_28241_mrna",0.105924620845709
"BC332_01800_mrna",-0.902898448537963
"BC332_10162_mrna",-0.558817764176496
"BC332_08290_mrna",NA
"BC332_00269_mrna",NA
"BC332_21835_mrna",-0.258642149215158
"BC332_03689_mrna",0.325635539963253
"BC332_10972_mrna",-0.235650890647743
"BC332_34957_mrna",NA
"BC332_34275_mrna",0.395630834028236
"BC332_21550_mrna",0.838658153931422
"BC332_05633_mrna",0.667776449102197
"BC332_22382_mrna",-3.23506589614905
"BC332_25914_mrna",-0.812256929983243
"BC332_31942_mrna",0.589729549869592
"BC332_14491_mrna",0.0544525365342463
"BC332_24827_mrna",1.11129642165925
"BC332_17969_mrna",NA
"BC332_31527_mrna",-0.157937753742535
"BC332_10076_mrna",0.499287130513861
"BC332_30696_mrna",-0.0713819807802979
"BC332_16960_mrna",-0.339581662807395
"BC332_03190_mrna",3.35233236535445
"BC332_01119_mrna",0.0982968091195913
"BC332_07355_mrna",-0.812256929983243
"BC332_34521_mrna",NA
"BC332_20141_mrna",NA
"BC332_33241_mrna",NA
"BC332_27049_mrna",1.13211711149764
"BC332_05573_mrna",-0.94725832874339
"BC332_32456_mrna",0.139099052384385
"BC332_27775_mrna",-0.262964896490565
"BC332_14046_mrna",2.33017752568317
"BC332_08264_mrna",-0.812256929983243
"BC332_25596_mrna",-0.367958066864805
"BC332_02069_mrna",NA
"BC332_12950_mrna",NA
"BC332_13901_mrna",3.13425336960599
"BC332_12919_mrna",NA
"BC332_12340_mrna",-0.859359212907941
"BC332_33994_mrna",0.664414005411292
"BC332_27048_mrna",NA
"BC332_19789_mrna",2.23328115543922
"BC332_27935_mrna",-2.15497850818571
"BC332_00844_mrna",0.217985670131188
"BC332_21735_mrna",0.498149702207481
"BC332_24780_mrna",0.514184766366151
"BC332_07686_mrna",0.987839733808875
"BC332_08717_mrna",-0.213629976476486
"BC332_21006_mrna",NA
"BC332_16159_mrna",2.70213827360901
"BC332_03326_mrna",NA
"BC332_22290_mrna",NA
"BC332_11393_mrna",NA
"BC332_21849_mrna",NA
"BC332_00584_mrna",0.573674049816085
"BC332_10176_mrna",1.11129642165925
"BC332_09022_mrna",0.562645381591222
"BC332_33168_mrna",-0.132855559888813
"BC332_32406_mrna",4.81909968014136
"BC332_02504_mrna",NA
"BC332_03833_mrna",-4.79927999447557
"BC332_22065_mrna",-2.58344615034631
"BC332_01440_mrna",0.015490205130226
"BC332_25548_mrna",1.19135867072155
"BC332_24580_mrna",NA
"BC332_28724_mrna",-2.76800899337975
"BC332_23450_mrna",NA
"BC332_33722_mrna",0.149523749445615
"BC332_27169_mrna",1.11129642165925
"BC332_29728_mrna",NA
"BC332_29071_mrna",0.506108556095235
"BC332_08095_mrna",-0.702298685977414
"BC332_12024_mrna",0.0446637968266854
"BC332_14967_mrna",NA
"BC332_10881_mrna",-0.431885593156319
"BC332_33395_mrna",NA
"BC332_13740_mrna",3.00246613950508
"BC332_32366_mrna",0.0469145277715044
"BC332_04032_mrna",NA
"BC332_03205_mrna",2.19572196383445
"BC332_26782_mrna",1.9643745781475
"BC332_25002_mrna",0.101407802132681
"BC332_16770_mrna",NA
"BC332_08131_mrna",0.257349794271699
"BC332_14329_mrna",NA
"BC332_23112_mrna",NA
"BC332_13786_mrna",NA
"BC332_11630_mrna",-0.209100707901387
"BC332_05175_mrna",-0.114930856966764
"BC332_03919_mrna",-0.78657546411605
"BC332_12167_mrna",-0.438738855125585
"BC332_28112_mrna",-2.40281749472974
"BC332_31723_mrna",-0.706442387665918
"BC332_23373_mrna",NA
"BC332_25172_mrna",NA
"BC332_20507_mrna",NA
"BC332_20716_mrna",NA
"BC332_21776_mrna",-0.238590544865837
"BC332_13573_mrna",0.669077616411973
"BC332_12335_mrna",NA
"BC332_06345_mrna",2.1280753138348
"BC332_05567_mrna",-0.54978609494671
"BC332_16008_mrna",0.46823147935142
"BC332_17014_mrna",0.528110689078597
"BC332_01218_mrna",NA
"BC332_30849_mrna",0.4535026124851
"BC332_24788_mrna",0.984199842312006
"BC332_33592_mrna",1.85701518865179
"BC332_12823_mrna",0.605494208691572
"BC332_04153_mrna",NA
"BC332_16407_mrna",-5.66909580608743
"BC332_17053_mrna",-0.920339056941435
"BC332_14352_mrna",NA
"BC332_33426_mrna",0.742054408084439
"BC332_29963_mrna",NA
"BC332_11547_mrna",0.120734469832959
"BC332_09421_mrna",1.19112859125845
"BC332_24980_mrna",0.0263571860834358
"BC332_25506_mrna",-1.58574582843666
"BC332_04474_mrna",NA
"BC332_31843_mrna",0.54466722944397
"BC332_08768_mrna",-0.358547016683385
"BC332_09970_mrna",NA
"BC332_33170_mrna",0.515071742276621
"BC332_11160_mrna",NA
"BC332_08287_mrna",-0.476713804925226
"BC332_00718_mrna",-0.852299737395621
"BC332_13144_mrna",0.52486981368718
"BC332_03318_mrna",-1.82904082763613
"BC332_33230_mrna",0.283327425716951
"BC332_17465_mrna",1.80234986042884
"BC332_30269_mrna",NA
"BC332_26857_mrna",0.481714767068219
"BC332_04074_mrna",0.984756754165627
"BC332_24446_mrna",0.335885438696247
"BC332_28902_mrna",-0.121152754336055
"BC332_04135_mrna",-0.249903774994952
"BC332_29868_mrna",-0.432433470895031
"BC332_12246_mrna",1.37122933219696
"BC332_19384_mrna",NA
"BC332_30994_mrna",1.11129642165925
"BC332_10392_mrna",0.216142125566408
"BC332_13364_mrna",-0.635674850795891
"BC332_30031_mrna",-0.19646920623109
"BC332_21392_mrna",0.149962360772885
"BC332_07782_mrna",NA
"BC332_02497_mrna",-0.0414014965759845
"BC332_10822_mrna",NA
"BC332_07996_mrna",0.118497567355799
"BC332_30636_mrna",-0.792211680790105
"BC332_24732_mrna",3.06325118437801
"BC332_15921_mrna",-3.25435802819249
"BC332_21333_mrna",3.41332899708348
"BC332_25454_mrna",1.81589623065693
"BC332_24937_mrna",1.45999412713288
"BC332_01420_mrna",NA
"BC332_11107_mrna",-0.133806413646482
"BC332_27760_mrna",NA
"BC332_14764_mrna",0.495055962908232
"BC332_21336_mrna",-0.196355863443536
"BC332_24214_mrna",-1.04309853595115
"BC332_24408_mrna",0.0621526790214367
"BC332_15930_mrna",-2.25592438020132
"BC332_15227_mrna",0.21390619292851
"BC332_23253_mrna",NA
"BC332_24022_mrna",0.455326118002597
"BC332_04619_mrna",-0.812256929983243
"BC332_07743_mrna",1.05775775739378
"BC332_02757_mrna",-0.555899479977539
"BC332_29423_mrna",-2.74212785302603
"BC332_34001_mrna",NA
"BC332_11406_mrna",-0.96551630869519
"BC332_05354_mrna",0.00641160320009273
"BC332_34581_mrna",-0.746450502956056
"BC332_29935_mrna",0.522701459529052
"BC332_04366_mrna",-2.68490848803816
"BC332_13584_mrna",-0.486944705169228
"BC332_26796_mrna",2.44608695145489
"BC332_29403_mrna",0.800257862830651
"BC332_03061_mrna",0.173383681001563
"BC332_19289_mrna",-0.298677263392819
"BC332_00695_mrna",0.788992309506312
"BC332_00153_mrna",-0.543223103917864
"BC332_12117_mrna",-1.51879234900992
"BC332_01884_mrna",-1.83834043076822
"BC332_24977_mrna",-0.207148512308967
"BC332_21304_mrna",NA
"BC332_12143_mrna",-1.07499503857715
"BC332_16915_mrna",0.715982307609667
"BC332_04919_mrna",NA
"BC332_19362_mrna",0.082793034332355
"BC332_24962_mrna",-0.150432346884499
"BC332_18416_mrna",-0.335589778165055
"BC332_32141_mrna",0.197356681394574
"BC332_20314_mrna",-0.268842847379806
"BC332_18103_mrna",0.114610696546613
"BC332_17691_mrna",NA
"BC332_08708_mrna",0.130158487068909
"BC332_34222_mrna",NA
"BC332_24476_mrna",NA
"BC332_10932_mrna",-4.70115882763944
"BC332_15835_mrna",-0.634433046790015
"BC332_11485_mrna",0.17252175430928
"BC332_12007_mrna",NA
"BC332_31469_mrna",-0.956905139769593
"BC332_09185_mrna",-1.30803993742755
"BC332_23903_mrna",0.762260507376787
"BC332_23581_mrna",NA
"BC332_12515_mrna",NA
"BC332_00923_mrna",1.8677881804463
"BC332_20240_mrna",NA
"BC332_21615_mrna",2.45002718379537
"BC332_20297_mrna",0.59215449415529
"BC332_12936_mrna",-0.113358837769675
"BC332_10454_mrna",-1.29518154707524
"BC332_06513_mrna",-2.02091933190263
"BC332_08761_mrna",0.0472423362542212
"BC332_07117_mrna",0.229157904242664
"BC332_08545_mrna",2.66208787304266
"BC332_34100_mrna",0.104246493583933
"BC332_24159_mrna",-0.146601460460207
"BC332_14242_mrna",-0.775849187437589
"BC332_26635_mrna",0.590585557156582
"BC332_27195_mrna",-6.39405878807212
"BC332_17767_mrna",0.611979173009137
"BC332_15510_mrna",NA
"BC332_14835_mrna",0.149829345321554
"BC332_20750_mrna",-0.325298112366761
"BC332_24943_mrna",-0.317714984013011
"BC332_22250_mrna",0.722029378538414
"BC332_28395_mrna",0.0842233768120862
"BC332_02404_mrna",-0.106907794744023
"BC332_23613_mrna",0.0396212687418738
"BC332_11372_mrna",-0.0274585733388024
"BC332_32977_mrna",NA
"BC332_14878_mrna",NA
"BC332_02333_mrna",0.59159207566711
"BC332_19732_mrna",-0.294000941659088
"BC332_16615_mrna",0.372867913660911
"BC332_04840_mrna",-0.812256929983243
"BC332_09323_mrna",-0.149919919636903
"BC332_04360_mrna",-0.116838042304057
"BC332_23192_mrna",-1.5974558630821
"BC332_17684_mrna",0.178083096871024
"BC332_04585_mrna",1.8531229062732
"BC332_14059_mrna",2.93271684965086
"BC332_04487_mrna",0.360465770329074
"BC332_11562_mrna",-0.947460138875066
"BC332_10716_mrna",-0.812256929983243
"BC332_19716_mrna",-0.471636378158994
"BC332_01681_mrna",-0.212100397807722
"BC332_20540_mrna",-0.579213233921344
"BC332_01582_mrna",1.07508449103337
"BC332_05403_mrna",-1.25127170608864
"BC332_25503_mrna",1.11129642165925
"BC332_26023_mrna",-0.454179139802168
"BC332_30119_mrna",0.155330196411646
"BC332_09929_mrna",2.1280753138348
"BC332_11634_mrna",0.418917038843099
"BC332_12832_mrna",0.42029918540965
"BC332_25727_mrna",-0.419593236205026
"BC332_26694_mrna",-0.0179017775045929
"BC332_30566_mrna",2.71824893629117
"BC332_14556_mrna",NA
"BC332_07961_mrna",4.36269743944924
"BC332_03613_mrna",3.08203503113352
"BC332_00089_mrna",0.792961608635453
"BC332_23697_mrna",-2.12981220223281
"BC332_30616_mrna",-0.812256929983243
"BC332_11320_mrna",0.118166852787876
"BC332_10048_mrna",0.347218380661315
"BC332_11938_mrna",-2.90950919229982
"BC332_02894_mrna",0.477723519700901
"BC332_31851_mrna",1.17026347115637
"BC332_10564_mrna",NA
"BC332_06706_mrna",0.224397157811399
"BC332_22848_mrna",-1.58599586400433
"BC332_31030_mrna",-1.17957616781709
"BC332_04372_mrna",-0.196191064279785
"BC332_02833_mrna",0.340282413084206
"BC332_22358_mrna",NA
"BC332_25607_mrna",2.07899598476438
"BC332_22577_mrna",-1.68758435220768
"BC332_13600_mrna",0.52939585926231
"BC332_21646_mrna",-2.17478736501871
"BC332_05153_mrna",0.581755092931113
"BC332_20332_mrna",-1.59404230425895
"BC332_00463_mrna",-0.511202091880252
"BC332_03082_mrna",NA
"BC332_26739_mrna",-0.084187643397537
"BC332_04718_mrna",-0.321968229113492
"BC332_00614_mrna",-0.488636987191228
"BC332_22619_mrna",0.0430088092897926
"BC332_06539_mrna",NA
"BC332_17769_mrna",0.21820487293929
"BC332_20674_mrna",NA
"BC332_20573_mrna",-0.0770195474575442
"BC332_21378_mrna",-0.394316829860676
"BC332_30825_mrna",0.384357500940027
"BC332_29196_mrna",0.114355305741443
"BC332_09204_mrna",-0.809761111384893
"BC332_31804_mrna",1.97946422275277
"BC332_27678_mrna",2.19988895594973
"BC332_02304_mrna",NA
"BC332_32559_mrna",0.277809038612533
"BC332_15522_mrna",-0.901527395610431
"BC332_13036_mrna",0.101276836483917
"BC332_01035_mrna",0.452864291628604
"BC332_27089_mrna",-2.57706312341438
"BC332_02880_mrna",0.149523749445615
"BC332_13279_mrna",1.11129642165925
"BC332_06437_mrna",-2.6984208158921
"BC332_06546_mrna",0.00256965151667316
"BC332_26561_mrna",0.031102744454652
"BC332_12688_mrna",-0.812256929983243
"BC332_20544_mrna",-0.457126483580793
"BC332_24697_mrna",0.349907002912122
"BC332_10212_mrna",1.12849799130187
"BC332_26606_mrna",-5.77798913230282
"BC332_11188_mrna",-1.0590860076134
"BC332_01630_mrna",-1.03713841147403
"BC332_16755_mrna",NA
"BC332_14685_mrna",NA
"BC332_13918_mrna",-1.91102818929246
"BC332_06710_mrna",0.493179680703418
"BC332_34056_mrna",-1.58964962458354
"BC332_05310_mrna",NA
"BC332_34078_mrna",NA
"BC332_32734_mrna",NA
"BC332_33169_mrna",NA
"BC332_17703_mrna",-0.283361242553428
"BC332_28231_mrna",3.59401245910606
"BC332_03898_mrna",0.563581530479038
"BC332_34930_mrna",NA
"BC332_19701_mrna",-2.62255591091835
"BC332_27536_mrna",NA
"BC332_05659_mrna",2.1972529231037
"BC332_17997_mrna",NA
"BC332_22852_mrna",NA
"BC332_33823_mrna",3.68525879851332
"BC332_23059_mrna",NA
"BC332_33842_mrna",1.36516052831789
"BC332_10682_mrna",NA
"BC332_05651_mrna",0.339293875722418
"BC332_27975_mrna",0.0771713925919629
"BC332_16194_mrna",NA
"BC332_13083_mrna",2.48082895127091
"BC332_20305_mrna",1.11129642165925
"BC332_22645_mrna",NA
"BC332_33155_mrna",NA
"BC332_28671_mrna",NA
"BC332_09894_mrna",-0.272661752573934
"BC332_07659_mrna",-1.59194629133912
"BC332_09973_mrna",0.64908205013849
"BC332_13465_mrna",0.139480870037342
"BC332_10019_mrna",0.31510962014941
"BC332_25447_mrna",-0.242467056559504
"BC332_25453_mrna",0.571939534591683
"BC332_29639_mrna",0.575001656287906
"BC332_09975_mrna",-0.476024109185684
"BC332_08361_mrna",NA
"BC332_07741_mrna",-1.14899721390412
"BC332_23846_mrna",0.906015175704016
"BC332_08954_mrna",-3.54879956893418
"BC332_18941_mrna",-2.31815237827279
"BC332_17030_mrna",NA
"BC332_29028_mrna",1.76123664500851
"BC332_31188_mrna",-0.869164419504455
"BC332_14646_mrna",1.99395842466369
"BC332_15939_mrna",NA
"BC332_08410_mrna",NA
"BC332_27201_mrna",0.562927141975228
"BC332_29979_mrna",NA
"BC332_15109_mrna",NA
"BC332_18284_mrna",NA
"BC332_15185_mrna",-0.181406178198841
"BC332_07229_mrna",1.70320277387836
"BC332_03794_mrna",-0.400118021589039
"BC332_07032_mrna",-0.266407499030027
"BC332_05495_mrna",-0.15015528716971
"BC332_12608_mrna",1.10951264721112
"BC332_10418_mrna",NA
"BC332_08184_mrna",-0.11400091085314
"BC332_34511_mrna",NA
"BC332_04312_mrna",-2.7362331669225
"BC332_20194_mrna",0.578851285075919
"BC332_11622_mrna",-0.112508737890691
"BC332_34405_mrna",NA
"BC332_23238_mrna",0.906015175704016
"BC332_01505_mrna",NA
"BC332_12818_mrna",2.8575117813075
"BC332_03719_mrna",-3.41453967662264
"BC332_33074_mrna",2.64932360376513
"BC332_18562_mrna",0.113009312960276
"BC332_05414_mrna",-0.331854601647654
"BC332_10515_mrna",-0.189545969831424
"BC332_13408_mrna",0.594068795619441
"BC332_31375_mrna",-0.346818716592735
"BC332_12395_mrna",0.565656758572789
"BC332_13686_mrna",NA
"BC332_20531_mrna",0.522433579711336
"BC332_22387_mrna",0.421223903058133
"BC332_27353_mrna",0.736515257456157
"BC332_29806_mrna",0.886364463745447
"BC332_10752_mrna",-0.179588230107737
"BC332_10717_mrna",-0.0144116186617284
"BC332_29038_mrna",0.81865574051941
"BC332_28887_mrna",NA
"BC332_12788_mrna",NA
"BC332_11984_mrna",-2.16039951600038
"BC332_11295_mrna",NA
"BC332_10527_mrna",1.09404068797569
"BC332_27414_mrna",4.32625003666678
"BC332_01581_mrna",0.582066091216357
"BC332_17251_mrna",0.00402100328193984
"BC332_32590_mrna",2.99172351810592
"BC332_16736_mrna",NA
"BC332_32824_mrna",0.398657591745406
"BC332_14788_mrna",1.33431004738321
"BC332_22748_mrna",0.24837575166711
"BC332_16359_mrna",0.625801430649354
"BC332_10973_mrna",NA
"BC332_26322_mrna",NA
"BC332_11844_mrna",2.44608695145489
"BC332_08176_mrna",NA
"BC332_34035_mrna",-0.510794877118231
"BC332_21706_mrna",-0.567534774895483
"BC332_30634_mrna",NA
"BC332_02447_mrna",0.402551593812931
"BC332_09739_mrna",-1.22623795680285
"BC332_01079_mrna",NA
"BC332_15095_mrna",-1.84393013079092
"BC332_17002_mrna",-0.887945884704691
"BC332_08357_mrna",0.20857116029093
"BC332_02204_mrna",NA
"BC332_15439_mrna",0.447432262677562
"BC332_25232_mrna",-0.255724058243837
"BC332_25178_mrna",-1.81714823882221
"BC332_20700_mrna",-1.4404032200138
"BC332_00849_mrna",-0.13855727887791
"BC332_11481_mrna",-0.331394925657854
"BC332_16075_mrna",0.213389251765658
"BC332_34446_mrna",NA
"BC332_09195_mrna",0.865594714833008
"BC332_08942_mrna",0.755319156483847
"BC332_14947_mrna",4.24802655006527
"BC332_11435_mrna",NA
"BC332_13212_mrna",-0.928940275161202
"BC332_32452_mrna",0.103103207285536
"BC332_19602_mrna",0.159110194933006
"BC332_09683_mrna",0.572963235752655
"BC332_21161_mrna",NA
"BC332_22627_mrna",0.172523763871901
"BC332_18798_mrna",NA
"BC332_25011_mrna",-0.16692496583445
"BC332_28232_mrna",3.31028122529802
"BC332_18701_mrna",-1.53871573784952
"BC332_06226_mrna",0.177316761779202
"BC332_15711_mrna",NA
"BC332_23616_mrna",NA
"BC332_30347_mrna",-0.463329701556806
"BC332_19941_mrna",-0.159151354588552
"BC332_33453_mrna",-0.0404306551556033
"BC332_02121_mrna",1.66593817994655
"BC332_16073_mrna",-2.4338545647783
"BC332_19921_mrna",-0.201591143448115
"BC332_28798_mrna",-0.55130548130422
"BC332_19501_mrna",NA
"BC332_13975_mrna",NA
"BC332_26924_mrna",0.687629907686904
"BC332_16401_mrna",NA
"BC332_32331_mrna",0.906015175704016
"BC332_27122_mrna",0.358716201278825
"BC332_27141_mrna",NA
"BC332_27686_mrna",-0.617036897439493
"BC332_04235_mrna",1.4290479981239
"BC332_05788_mrna",0.124154321271997
"BC332_18839_mrna",-1.31149858542693
"BC332_00194_mrna",0.0593153116934993
"BC332_33682_mrna",0.358280353993735
"BC332_13422_mrna",-2.4036490485104
"BC332_00977_mrna",NA
"BC332_19561_mrna",-0.99507917938029
"BC332_27114_mrna",-1.5974558630821
"BC332_30520_mrna",-0.496883218417977
"BC332_07723_mrna",NA
"BC332_26293_mrna",-2.21909667027031
"BC332_15852_mrna",2.1280753138348
"BC332_11099_mrna",0.159479323267345
"BC332_06135_mrna",NA
"BC332_27871_mrna",0.391946228823212
"BC332_12041_mrna",NA
"BC332_27990_mrna",-3.69568070826624
"BC332_32371_mrna",0.319341820568298
"BC332_08353_mrna",0.421241426750657
"BC332_02616_mrna",-0.255117167791483
"BC332_21757_mrna",-0.305208743001383
"BC332_00781_mrna",0.119768403204902
"BC332_29730_mrna",-0.144351793087511
"BC332_32493_mrna",-0.145116715684668
"BC332_11234_mrna",1.11129642165925
"BC332_11172_mrna",NA
"BC332_28922_mrna",0.415714354011322
"BC332_17571_mrna",-3.33107355703427
"BC332_19700_mrna",0.220034687576419
"BC332_14346_mrna",-1.5974558630821
"BC332_22049_mrna",-0.203120274610343
"BC332_25870_mrna",0.31640814636807
"BC332_18355_mrna",NA
"BC332_16370_mrna",0.149716718031607
"BC332_33136_mrna",0.0713942865194685
"BC332_19304_mrna",-0.0301010766518787
"BC332_27004_mrna",-0.0840711763284582
"BC332_19601_mrna",-0.167674111951821
"BC332_18142_mrna",-0.17829461991807
"BC332_26641_mrna",-0.350117181086448
"BC332_28990_mrna",-3.4518217855187
"BC332_23809_mrna",0.413495221272178
"BC332_34560_mrna",1.11859222295363
"BC332_01264_mrna",NA
"BC332_02423_mrna",2.98190484800523
"BC332_09482_mrna",-0.113673976400847
"BC332_32549_mrna",1.11129642165925
"BC332_30207_mrna",0.626183525212323
"BC332_11640_mrna",0.556795222727289
"BC332_26114_mrna",-1.71555357105886
"BC332_09174_mrna",-0.671623332831356
"BC332_24118_mrna",NA
"BC332_03525_mrna",NA
"BC332_32639_mrna",NA
"BC332_02132_mrna",0.923649458394718
"BC332_11181_mrna",0.149523749445614
"BC332_10135_mrna",-0.00480236714275983
"BC332_07757_mrna",-0.25287517778307
"BC332_28229_mrna",0.831459476048907
"BC332_22417_mrna",-3.53821427413209
"BC332_28309_mrna",NA
"BC332_33143_mrna",-1.81408075028132
"BC332_16577_mrna",0.0859571526370291
"BC332_01825_mrna",-0.468318740669817
"BC332_15999_mrna",-0.82776412039639
"BC332_27849_mrna",-0.155995468649321
"BC332_30539_mrna",0.0105325612067924
"BC332_11318_mrna",NA
"BC332_09774_mrna",0.0805917808187906
"BC332_05589_mrna",-0.115092442944691
"BC332_00106_mrna",NA
"BC332_34845_mrna",0.781813358341216
"BC332_14189_mrna",-0.863645562620432
"BC332_20146_mrna",5.74988610650763
"BC332_00341_mrna",4.3905039010234
"BC332_21233_mrna",-1.29674108342959
"BC332_20941_mrna",-0.300588710723468
"BC332_14144_mrna",NA
"BC332_23321_mrna",-2.4036490485104
"BC332_19296_mrna",-0.812256929983243
"BC332_02366_mrna",1.1712061347534
"BC332_32273_mrna",-2.2956580163046
"BC332_02452_mrna",0.135859995370645
"BC332_07955_mrna",NA
"BC332_07914_mrna",0.581905752080719
"BC332_18598_mrna",NA
"BC332_14984_mrna",NA
"BC332_33276_mrna",-2.19530753757368
"BC332_01269_mrna",NA
"BC332_01656_mrna",NA
"BC332_13010_mrna",0.680222250100773
"BC332_10038_mrna",-0.0550570286852918
"BC332_20551_mrna",-0.121292660456813
"BC332_33832_mrna",0.688015682185851
"BC332_01319_mrna",0.525775858702163
"BC332_05228_mrna",-3.41729801952744
"BC332_28668_mrna",NA
"BC332_18014_mrna",0.0856125655586058
"BC332_24394_mrna",-0.261496851912446
"BC332_06980_mrna",0.861473817836975
"BC332_24158_mrna",2.1280753138348
"BC332_23435_mrna",3.05591387409571
"BC332_16756_mrna",0.367771713820882
"BC332_30600_mrna",NA
"BC332_15225_mrna",-2.23865231757453
"BC332_20110_mrna",-0.774650119876315
"BC332_33773_mrna",NA
"BC332_00046_mrna",-0.259025954373489
"BC332_12324_mrna",NA
"BC332_34966_mrna",NA
"BC332_23206_mrna",NA
"BC332_34813_mrna",NA
"BC332_13273_mrna",0.00054865247015396
"BC332_19661_mrna",NA
"BC332_07320_mrna",0.0513358109693782
"BC332_33311_mrna",-0.0421811463213957
"BC332_23878_mrna",-1.25038029893531
"BC332_13350_mrna",NA
"BC332_22936_mrna",1.65964766230373
"BC332_13766_mrna",-0.168432863923736
"BC332_08562_mrna",3.02989730705888
"BC332_15982_mrna",-1.36816871177587
"BC332_07780_mrna",0.41722953137073
"BC332_26002_mrna",0.225877546238311
"BC332_17349_mrna",0.315112356395454
"BC332_13333_mrna",-0.197785184328379
"BC332_17298_mrna",-0.024616032399406
"BC332_25314_mrna",NA
"BC332_26806_mrna",-2.87068354194699
"BC332_10008_mrna",-0.812256929983243
"BC332_17018_mrna",0.425634380402503
"BC332_20803_mrna",0.535637251562844
"BC332_31659_mrna",-2.11069315105046
"BC332_19114_mrna",-2.04324834719302
"BC332_15216_mrna",0.0710582269907859
"BC332_20845_mrna",-0.812256929983243
"BC332_29152_mrna",NA
"BC332_34796_mrna",NA
"BC332_22642_mrna",-0.150570635204287
"BC332_18104_mrna",-0.334636542941345
"BC332_25793_mrna",NA
"BC332_15445_mrna",0.302377073341908
"BC332_05563_mrna",-0.0537022037562332
"BC332_19286_mrna",0.167626798165891
"BC332_12105_mrna",-0.320322596123766
"BC332_08221_mrna",-0.348153373564838
"BC332_18882_mrna",-0.812256929983243
"BC332_11707_mrna",-7.31508821783167
"BC332_22494_mrna",-1.31548692041696
"BC332_12095_mrna",-2.75900364032723
"BC332_11757_mrna",0.733929049232474
"BC332_28830_mrna",0.512485166524618
"BC332_29267_mrna",-0.4531107086789
"BC332_31658_mrna",-0.820858197193415
"BC332_10209_mrna",NA
"BC332_31613_mrna",-0.771475851110255
"BC332_15927_mrna",-1.16546976655744
"BC332_05497_mrna",NA
"BC332_28452_mrna",-1.77748214905117
"BC332_24878_mrna",0.587606215571264
"BC332_30852_mrna",1.57866334264282
"BC332_30869_mrna",1.34284719863339
"BC332_26755_mrna",NA
"BC332_34044_mrna",-0.812256929983243
"BC332_09012_mrna",NA
"BC332_03929_mrna",-0.0174527369573935
"BC332_34906_mrna",-1.29685860509522
