Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
BC332_24630_mrna,56.0,30.0,29.0,32.0,75.0,38.0
BC332_28045_mrna,1121.0,1150.0,1093.0,952.0,900.0,981.587
BC332_26522_mrna,5.0,5.0,5.0,4.0,10.0,7.0
BC332_20665_mrna,51.0,36.0,44.0,63.0,38.0,52.0
BC332_18933_mrna,3.0,1.0,0.0,0.0,0.0,0.0
BC332_02545_mrna,78.0,77.0,52.0,49.5311,35.2061,57.0
BC332_06096_mrna,390.0,403.0,331.0,101.0,74.0,166.0
BC332_32874_mrna,3846.0,3338.0,3942.0,3985.0,5122.0,4463.0
BC332_09241_mrna,1237.0,951.0,1039.0,812.0,735.0,861.0
BC332_16236_mrna,650.0,596.0,576.0,659.0,562.0,688.0
BC332_25027_mrna,46.0,36.0,34.0,38.0,29.0,26.0
BC332_32511_mrna,676.0,629.0,526.0,534.0,831.0,583.0
BC332_05363_mrna,125.0,108.0,104.0,42.0,33.0,74.0
BC332_33234_mrna,415.0,321.0,358.0,522.0,531.0,570.0
BC332_34447_mrna,1740.0,1667.0,1644.0,1024.0,687.0,1087.0
BC332_30765_mrna,1599.0,1333.0,1234.0,1487.0,1260.0,1298.0
BC332_12368_mrna,36.0,13.0,18.0,13.0,33.0,22.0
BC332_12440_mrna,90.0,82.8539,104.0,81.0,37.0,119.0
BC332_11632_mrna,229.0,254.0,163.0,311.0,627.0,454.0
BC332_13300_mrna,0.0,1.0,0.0,2.0,1.0,2.0
BC332_23248_mrna,329.006,322.56,348.14,468.399,496.631,533.699
BC332_29925_mrna,1369.0,1441.0,1650.0,1202.0,705.0,1500.0
BC332_19506_mrna,0.0,0.0,0.0,0.0,2.0,0.0
BC332_19763_mrna,2561.0,2143.0,1822.0,1661.0,1881.0,1662.0
BC332_16966_mrna,247.73,218.163,186.662,132.393,169.697,228.565
BC332_20029_mrna,30.0,26.0,11.0,0.0,2.0,1.0
BC332_26875_mrna,2.0,0.0,0.0,2.0,0.0,0.0
BC332_32638_mrna,43.875,23.9402,20.4119,37.1741,44.5482,27.4057
BC332_30389_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_12248_mrna,439.0,162.0,262.0,1078.0,1459.0,729.0
BC332_13166_mrna,8.0,14.0,2.0,0.0,0.0,4.0
BC332_23768_mrna,0.0,0.0,0.0,0.0,1.0,0.0
BC332_17319_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_03903_mrna,0.0,4.0,0.0,0.0,0.0,0.0
BC332_13133_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_21317_mrna,3.0,2.0,6.0,2.0,1.0,4.0
BC332_10040_mrna,101.0,76.0,56.0,31.0,39.0,99.0
BC332_28241_mrna,137.0,120.0,200.0,132.0,127.0,195.0
BC332_01800_mrna,48.7093,40.584,40.9794,17.6851,24.6685,20.3675
BC332_10162_mrna,4.76652,7.22822,0.0,3.50953,1.21548,2.41541
BC332_08290_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_00269_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_21835_mrna,382.0,367.0,360.0,243.0,257.0,343.0
BC332_03689_mrna,7.0,9.0,5.0,13.0,5.0,5.0
BC332_10972_mrna,37.0,15.0,14.0,20.0,13.0,16.0
BC332_34957_mrna,0.0,0.0,0.0,0.0,0.0,0.00450398
BC332_34275_mrna,2.33333,2.33333,1.0,1.33333,2.0,3.0
BC332_21550_mrna,545.0,464.0,434.0,768.0,852.0,679.0
BC332_05633_mrna,164.0,127.0,110.0,197.0,242.0,120.0
BC332_22382_mrna,217.949,207.661,102.322,7.44646,28.6184,14.0
BC332_25914_mrna,1.0,0.0,0.0,0.0,0.0,0.0
BC332_31942_mrna,31.0,26.0,22.0,29.0,40.0,38.0
BC332_14491_mrna,158.0,130.0,132.0,132.0,86.0,178.0
BC332_24827_mrna,0.0,0.0,0.0,0.0,0.0,1.0
BC332_17969_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_31527_mrna,1231.0,1116.0,1045.0,849.0,746.0,1165.0
BC332_10076_mrna,92.7746,101.713,84.5543,71.9616,208.896,73.2868
BC332_30696_mrna,1588.0,1296.0,1256.0,1173.0,1163.0,1191.0
BC332_16960_mrna,976.0,931.0,871.0,693.0,740.0,519.0
BC332_03190_mrna,0.0,1.01587,0.0,4.0,1.02,5.03571
BC332_01119_mrna,0.0,0.0,5.0,3.0,1.0,1.0
BC332_07355_mrna,1.0,0.0,0.0,0.0,0.0,0.0
BC332_34521_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_20141_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33241_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_27049_mrna,10.6283,8.40996,4.90073,10.5066,10.7261,25.5488
BC332_05573_mrna,665.0,796.0,1008.0,514.0,104.0,559.0
BC332_32456_mrna,154.461,169.598,139.591,108.0,171.444,187.0
BC332_27775_mrna,162.0,74.0,73.0,25.0,33.0,185.0
BC332_14046_mrna,5.0,1.0,3.0,17.0,10.0,13.0
BC332_08264_mrna,0.0,0.0,1.0,0.0,0.0,0.0
BC332_25596_mrna,153.0,166.0,104.0,89.0,84.0,123.0
BC332_02069_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_12950_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_13901_mrna,0.0,1.0,0.0,2.0,0.0,7.0
BC332_12919_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_12340_mrna,27.8394,34.5933,25.5417,14.7752,5.59087,24.4586
BC332_33994_mrna,5.0,3.61749,1.0,1.0,1.0,13.0
BC332_27048_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_19789_mrna,11.0,10.0,7.0,49.0,37.0,30.0
BC332_27935_mrna,0.0,1.0048,4.0,0.0,1.0,0.0
BC332_00844_mrna,618.0,551.0,548.0,478.0,612.0,726.0
BC332_21735_mrna,262.0,175.0,194.0,241.0,249.0,313.0
BC332_24780_mrna,170.0,148.0,146.0,197.0,214.0,182.0
BC332_07686_mrna,21.4564,7.56924,4.0,20.6142,22.8629,12.1745
BC332_08717_mrna,647.0,623.0,549.0,382.0,500.0,539.0
BC332_21006_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_16159_mrna,0.0,1.0,0.0,0.0,0.0,7.0
BC332_03326_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_22290_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_11393_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_21849_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_00584_mrna,60.0,42.0,43.0,48.0,54.0,95.0
BC332_10176_mrna,0.0,0.0,0.0,0.0,0.0,1.0
BC332_09022_mrna,18.0,21.0,11.0,16.0,22.0,29.0
BC332_33168_mrna,392.0,314.0,299.0,221.0,308.0,297.0
BC332_32406_mrna,3.0,1.0,2.0,51.0,87.0,8.0
BC332_02504_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_03833_mrna,32.0,63.0,28.0,2.0,0.0,2.0
BC332_22065_mrna,4383.0,4956.0,2500.0,497.0,743.0,514.0
BC332_01440_mrna,363.0,373.0,340.0,315.0,346.0,317.0
BC332_25548_mrna,2.0,2.0,2.0,0.0,5.0,8.0
BC332_24580_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_28724_mrna,0.0,2.00154,2.0,0.0,0.0,0.0
BC332_23450_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33722_mrna,1.0,0.0,0.0,0.0,0.0,1.0
BC332_27169_mrna,0.0,0.0,0.0,1.0,0.0,0.0
BC332_29728_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_29071_mrna,191.0,221.0,245.0,281.0,256.0,312.0
BC332_08095_mrna,7.0,4.0,9.0,4.0701,5.0,2.0212
BC332_12024_mrna,12.0,2.0,4.0,7.0,5.0,4.0
BC332_14967_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_10881_mrna,1168.0,1293.0,1296.0,904.0,488.0,1156.0
BC332_33395_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_13740_mrna,0.0,0.0,0.0,2.0,0.0,2.0
BC332_32366_mrna,654.0,467.0,563.0,499.0,582.0,475.0
BC332_04032_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_03205_mrna,0.0,2.0,0.0,4.0,3.0,1.0
BC332_26782_mrna,6.82994,0.0,0.0,11.1051,0.0,11.7829
BC332_25002_mrna,109.0,94.0,83.0,72.0,93.0,113.0
BC332_16770_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_08131_mrna,263.0,98.0,176.0,360.0,4.0,192.0
