Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
(+/-)-C75	2328435.153	2698359.39	1423818.012	511722.5299	1209505.715	1335990.81	1164401.162	1403492.827	1965721.749	4655819.66	5044860.216	4178101.345	5215818.876	4490974.135	7416386.03	4352038.371	4774761.071	6053114.861	2555613.19	3942994.632	2602865.332
(-)-Caryophyllene oxide	164385094.3	150971879.4	153867660.8	84035748.58	72613349.45	86652331.51	19462654.88	25742565.09	15366069.01	7094576.8	7041729.113	8583745.581	2720165.227	4126383.158	6039011.215	8134035.982	2868261.797	1879456.717	16263546.83	19920550.46	17834385.1
"(1R,2S,3R,4R)-3-[(Cyclopentylmethyl)amino]-4-phenyl-1,2-cyclopentanediol"	15648483.38	16959660.42	19147019.77	74443405.52	64844023.97	73468023.08	68134090.25	66553257.28	94264958.21	51205168.07	77518931.62	59914637.3	1331854.597	3604714.379	1474834.292	12867450.75	11362645.87	3737829.295	14461052.94	2549558.395	749687.1279
"(1R,4aS,5R,8aS)-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylidene-decahydronaphthalene-1-carboxylic acid"	11694644.73	11787169.79	10518469.86	23337343.28	27298377.68	25013181.48	6965505.825	9073465.301	5702783.357	472472.6903	898676.1882	486193.1933	394751.5305	1249524.013	399947.4532	392004.948	615864.9948	393212.1001	446479.2002	516170.7519	462471.2736
"(1S,3R,4R,5R)-1,3,4-trihydroxy-5-{[(2E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxy}cyclohexane-1-carboxylic acid"	16789378.78	14471370.84	15803136.6	13323726.19	15929837.72	10529617.91	18993032.13	12152582.82	14550551.67	4224064.07	6270303.649	4659618.073	3274228.948	4265600.24	5015977.208	3602734.87	3996653.216	1951436.3	2972090.387	4487862.995	13871030.9
"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one"	171269.138	194182.0575	209608.0599	177888.4899	232761.3358	212160.8414	174914.3892	185150.6003	186134.4896	1006296.853	718176.7227	1540523.195	3339165.442	7935900.438	6330304.525	3337265.399	6496687.982	1008535.535	8974440.78	3936463.867	13543449.85
"(1S,4S,5R,9R,13S)-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.0Âa,Âaâ°.0â´,âa]hexadec-10-ene-5-carboxylic acid"	745594988.2	702946005.7	687190912.7	840490190.7	835056222.2	862264613.3	879396206.3	993954296.1	748403588.2	150977878.6	154242083.2	112957170.5	40644975.67	36566382.13	47170958.39	36818762.03	40402370.25	40040987.05	137718708.5	283438128.5	176464248
"(1S,6R,11aR,13R,14aS)-1,13-dihydroxy-6-methyl-1H,4H,6H,7H,8H,9H,11aH,12H,13H,14H,14aH-cyclopenta[f]oxacyclotridecan-4-one"	18470243.75	21284764.22	20205301.96	9689574.943	9099938.394	11076620.7	1186587.814	1933637.355	2868972.874	1029294.403	616145.391	1089466.151	676015.2124	635282.2341	493864.355	567991.086	514488.8923	506400.2774	780234.6519	547911.8531	472577.518
"(1aR,2E,4aR,6S,7S,7aR,8R,11aS)-1,1,3,6-Tetramethyl-9-methylene-4-oxo-1,1a,4,5,6,7,7a,8,9,10,11,11a-dodecahydro-4aH-cyclopenta[a]cyclopropa[f][11]annulene-4a,7,8-triyl triacetate"	1607326.519	5151842.781	7927328.392	1109051.521	1495571.765	1592904.269	3353640.267	2264455.793	2212977.142	144032649.5	98829185.17	231190399.6	189544288.9	274680251.6	311778337.6	281757413.8	277051792.4	209887666.7	214360670.3	155663865.5	140164779.1
"(1r,3R,4s,5S)-4-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,3,5-trihydroxycyclohexane-1-carboxylic acid"	1441518257	1386497742	1417323558	1403249222	1205775316	1037631112	2532842192	3033065399	1978246652	1075972779	1355337576	892528687.9	385171056	641840221.6	537782224.2	638938811.2	387240321.4	295864811	427441512.9	385161776.1	408975073.4
