Name	Description
Cc72_00056752-RA	Anthocyanin acyltransferase
Cc72_00056747-RA	"One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation"
Cc72_00056748-RA	Ribosomal protein S12/S23
Cc72_00056751-RA	-
Cc72_00056746-RA	"Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex"
Cc72_00056750-RA	DNA-directed 5'-3' RNA polymerase activity
Cc72_00056745-RA	"PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin"
Cc72_00056757-RA	-
Cc72_00056760-RA	-
Cc72_00056759-RA	Miraculin-like
Cc72_00056762-RA	Miraculin-like
Cc72_00013106-RA	Ribonuclease H protein
Cc72_00013112-RA	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Cc72_00013109-RA	PPR repeat
Cc72_00013107-RA	Protein kinase domain
Cc72_00013113-RA	PPR repeat
Cc72_00013111-RA	Protein kinase domain
Cc72_00013110-RA	membrane-associated kinase regulator
Cc72_00013114-RA	Protein kinase domain
Cc72_00013108-RA	membrane-associated kinase regulator
Cc72_00013122-RA	Protein kinase domain
Cc72_00013116-RA	cell division control protein 48 homolog C-like
Cc72_00013121-RA	cell division control protein 48 homolog C-like
Cc72_00013118-RA	Photosystem II CP43 chlorophyll apoprotein
Cc72_00013128-RA	membrane-associated kinase regulator
Cc72_00013126-RA	Belongs to the helicase family
Cc72_00013133-RA	cell division control protein 48 homolog C-like
Cc72_00013124-RA	Alpha-dioxygenase
Cc72_00013130-RA	"One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation"
Cc72_00013136-RA	Plant invertase/pectin methylesterase inhibitor
Cc72_00013139-RA	Protein of unknown function (DUF1624)
Cc72_00013134-RA	Protein kinase domain
Cc72_00013135-RA	Protein of unknown function (DUF952)
Cc72_00013137-RA	Belongs to the eukaryotic ribosomal protein eL19 family
Cc72_00013140-RA	Cotton fibre expressed protein
Cc72_00013141-RA	Domain of unknown function (DUF4033)
Cc72_00013144-RA	Pentatricopeptide repeat-containing protein
Cc72_00013145-RA	Tim17/Tim22/Tim23/Pmp24 family
Cc72_00013148-RA	Belongs to the glycosyl hydrolase 1 family
Cc72_00013146-RA	COG4 transport protein
Cc72_00013142-RA	Insulin-induced protein (INSIG)
Cc72_00013143-RA	pectinesterase
Cc72_00013152-RA	Glutaredoxin
Cc72_00013154-RA	rRNA processing
Cc72_00013156-RA	KIP1-like protein
Cc72_00013151-RA	BTB POZ domain-containing protein At1g03010-like
Cc72_00013157-RA	Pseudouridine synthase
Cc72_00013150-RA	Belongs to the cullin family
Cc72_00013153-RA	zinc finger
Cc72_00013155-RA	Transport inhibitor response
Cc72_00013149-RA	ATPase family associated with various cellular activities (AAA)
Cc72_00013158-RA	Classical arabinogalactan protein
Cc72_00013165-RA	NPL4 family
Cc72_00013161-RA	Type I 3-dehydroquinase
Cc72_00013160-RA	-
Cc72_00013163-RA	RNA recognition motif
Cc72_00013167-RA	-
Cc72_00013162-RA	KR domain
Cc72_00013164-RA	RhoGAP domain
Cc72_00013166-RA	DDE superfamily endonuclease
Cc72_00013173-RA	60S ribosomal protein
Cc72_00013177-RA	LRR receptor-like serine threonine-protein kinase RKF3
Cc72_00013170-RA	Histone 2A
Cc72_00013171-RA	-
Cc72_00013169-RA	-
Cc72_00013174-RA	Leucine Rich repeat
Cc72_00013176-RA	Receptor-like cytosolic serine threonine-protein kinase RBK2
Cc72_00013175-RA	Histidine-containing phosphotransfer protein 1-like
Cc72_00013168-RA	Ribonuclease H protein
Cc72_00013178-RA	CW-type Zinc Finger
Cc72_00013179-RA	Auxin binding protein
Cc72_00013180-RA	"oxidoreductase, 2OG-Fe(II) oxygenase family protein"
Cc72_00013185-RA	CW-type Zinc Finger
Cc72_00013184-RA	-
Cc72_00013182-RA	E3 Ubiquitin ligase
Cc72_00013181-RA	E3 Ubiquitin ligase
Cc72_00013183-RA	-
Cc72_00013191-RA	Outer envelope membrane
Cc72_00013188-RA	Belongs to the glutathione peroxidase family
Cc72_00013192-RA	PMR5 N terminal Domain
Cc72_00013193-RA	Encoded by
Cc72_00013190-RA	Small nuclear ribonucleoprotein Sm
Cc72_00013189-RA	Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
Cc72_00013187-RA	EID1-like F-box protein 3
Cc72_00013186-RA	Cytosolic domain of 10TM putative phosphate transporter
Cc72_00013195-RA	Ferrous iron transport protein B
Cc72_00013196-RA	ARM REPEAT PROTEIN INTERACTING WITH ABF2-like
Cc72_00013200-RA	Belongs to the terpene synthase family
Cc72_00013202-RA	40S ribosomal protein
Cc72_00013201-RA	F-Box protein
Cc72_00013203-RA	heat shock protein
Cc72_00013197-RA	Patatin-like phospholipase
Cc72_00013206-RA	-
Cc72_00013198-RA	Plastocyanin-like domain
Cc72_00013199-RA	Chalcone isomerase like
Cc72_00013204-RA	Protein transport protein Sec24-like
Cc72_00013205-RA	Belongs to the plant LTP family
Cc72_00013211-RA	DDE superfamily endonuclease
Cc72_00013210-RA	DnaJ central domain
Cc72_00013213-RA	"transposition, RNA-mediated"
Cc72_00013209-RA	EKC KEOPS complex subunit bud32-like
Cc72_00013219-RA	Pollen allergen ole e 6
Cc72_00013216-RA	Proline-rich nuclear receptor coactivator motif
Cc72_00013218-RA	Belongs to the plant LTP family
Cc72_00013214-RA	Protein transport protein Sec24-like
Cc72_00013217-RA	Belongs to the plant LTP family
Cc72_00013223-RA	DDE superfamily endonuclease
Cc72_00013226-RA	Cytidine and deoxycytidylate deaminase zinc-binding region
Cc72_00013225-RA	-
Cc72_00013224-RA	STAS domain
Cc72_00013221-RA	EKC KEOPS complex subunit bud32-like
Cc72_00013222-RA	Domain of unknown function (DUF4602)
Cc72_00013235-RA	guanylate-binding protein
Cc72_00013234-RA	Guanylate-binding protein
Cc72_00013230-RA	TIFY
Cc72_00013231-RA	"Serine/threonine phosphatases, family 2C, catalytic domain"
Cc72_00013232-RA	Histone 2A
Cc72_00013236-RA	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations
Cc72_00013227-RA	BI1-like protein
Cc72_00013228-RA	Chlorophyllase enzyme
Cc72_00013233-RA	FAE1/Type III polyketide synthase-like protein
Cc72_00013238-RA	Photosystem II reaction center W protein
Cc72_00013237-RA	F-box domain
Cc72_00013248-RA	Domain in histone families 1 and 5
Cc72_00013246-RA	E3 ubiquitin protein ligase
Cc72_00013251-RA	bHLH-MYC and R2R3-MYB transcription factors N-terminal
Cc72_00013249-RA	K homology RNA-binding domain
Cc72_00013247-RA	Hypothetical methyltransferase
Cc72_00013250-RA	ATPase MipZ
Cc72_00013260-RA	LOB domain-containing protein
Cc72_00013259-RA	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Cc72_00013263-RA	Myb-like DNA-binding domain
Cc72_00013265-RA	Pre-mRNA splicing Prp18-interacting factor
Cc72_00013262-RA	Belongs to the iron ascorbate-dependent oxidoreductase family
Cc72_00013266-RA	protein import into mitochondrial matrix
Cc72_00013261-RA	Lipase (class 3)
Cc72_00013269-RA	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS
Cc72_00013272-RA	Protein kinase domain
Cc72_00013274-RA	Glycolipid transfer protein (GLTP)
Cc72_00013270-RA	No apical meristem (NAM) protein
Cc72_00013267-RA	Structural maintenance of chromosomes protein
Cc72_00013271-RA	BTB POZ domain-containing protein POB1-like
Cc72_00013275-RA	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of ATP and thus represents the only step of substrate- level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
Cc72_00013273-RA	Ribosomal protein L14
Cc72_00013279-RA	Cysteine-rich repeat secretory protein
Cc72_00013277-RA	glutathione s-transferase
Cc72_00013283-RA	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Cc72_00013280-RA	Pentatricopeptide repeat-containing protein
Cc72_00013278-RA	Ubiquitin-binding WIYLD domain
Cc72_00013282-RA	"Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN"
Cc72_00013276-RA	Belongs to the universal ribosomal protein uL14 family
Cc72_00013285-RA	Pectinesterase
Cc72_00013287-RA	Glutaredoxin
Cc72_00013286-RA	monooxygenase
Cc72_00013288-RA	Photosystem I reaction centre subunit IV / PsaE
Cc72_00013296-RA	At4g13230-like
Cc72_00013291-RA	Belongs to the 'GDSL' lipolytic enzyme family
Cc72_00013290-RA	Protein of unknown function (DUF3741)
Cc72_00013289-RA	-
Cc72_00013292-RA	Leucine Rich Repeat
Cc72_00013294-RA	YIF1
Cc72_00013295-RA	Belongs to the AAA ATPase family
Cc72_00013293-RA	Ribonuclease H protein
Cc72_00013301-RA	-
Cc72_00013302-RA	F-box domain
Cc72_00013307-RA	Protein kinase domain
Cc72_00013298-RA	B3 domain-containing transcription factor
Cc72_00013306-RA	Protein of unknown function (DUF3685)
Cc72_00013303-RA	Alba
Cc72_00013308-RA	Tropinone reductase homolog At1g07440-like
Cc72_00013299-RA	Amb_all
Cc72_00013297-RA	B3 domain-containing transcription factor
Cc72_00013305-RA	GNL3L/Grn1 putative GTPase
Cc72_00013304-RA	Belongs to the synaptobrevin family
Cc72_00013300-RA	Mitosis protein DIM1
Cc72_00013315-RA	Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
Cc72_00013314-RA	Transcriptional corepressor LEUNIG-like
Cc72_00013309-RA	KR domain
Cc72_00013310-RA	Hsp70 nucleotide exchange factor
Cc72_00013311-RA	-
Cc72_00013312-RA	Enoyl-(Acyl carrier protein) reductase
Cc72_00013313-RA	KR domain
Cc72_00013316-RA	Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
Cc72_00013319-RA	Myb/SANT-like DNA-binding domain
Cc72_00013317-RA	Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
Cc72_00013320-RA	-
Cc72_00013318-RA	Cytochrome b5
Cc72_00013322-RA	"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues"
Cc72_00013324-RA	-
Cc72_00013321-RA	XRI1-like
Cc72_00013323-RA	Protein of unknown function (DUF295)
Cc72_00013343-RA	Wound-inducible basic protein family
Cc72_00013342-RA	Forkhead associated domain
Cc72_00013330-RA	Protein of unknown function (DUF295)
Cc72_00013331-RA	"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues"
Cc72_00013344-RA	-
Cc72_00013346-RA	Belongs to the glycosyltransferase 8 family
Cc72_00013338-RA	Cleavage site for pathogenic type III effector avirulence factor Avr
Cc72_00013334-RA	Kinase interacting protein
Cc72_00013332-RA	Belongs to the argonaute family
