Name,Description
menF,isochorismate synthase MenF
mukE,chromosome partitioning protein MukE
arrS,small regulatory RNA ArrS
psiF,phosphate starvation-inducible protein PsiF
hisL,<i>his</i> operon leader peptide
yjbR,PF04237 family protein YjbR
ybcL,DLP12 prophage; periplasmic protein YbcL
cynR,DNA-binding transcriptional dual regulator CynR
yriA,protein YriA
argQ,tRNA-Arg(ACG)
feaB,phenylacetaldehyde dehydrogenase
ybhP,endonuclease/exonuclease/phosphatase domain-containing protein YbhP
ilvX,uncharacterized protein IlvX
yhgN,MarC family putative inner membrane protein YhgN
paaG,"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)"
srmB,ATP-dependent RNA helicase SrmB
holE,DNA polymerase III subunit &theta;
pabC,aminodeoxychorismate lyase
rob,DNA-binding transcriptional dual regulator Rob
napC,periplasmic nitrate reductase cytochrome c protein
dtpA,dipeptide/tripeptide:H<sup>+</sup> symporter DtpA
ycaQ,interstrand DNA crosslink repair glycosylase
pspC,phage shock protein C
adk,adenylate kinase
serC,phosphoserine/phosphohydroxythreonine aminotransferase
hypT,DNA-binding transcriptional dual regulator HypT
insH8,IS<i>5</i> transposase and trans-activator
yejL,DUF1414 domain-containing protein YejL
dgoK,2-dehydro-3-deoxygalactonokinase
lysS,lysine&mdash;tRNA ligase
intZ,CPZ-55 prophage; putative phage integrase IntZ
appB,cytochrome <i>bd</i>-II subunit 2
bioC,malonyl-acyl carrier protein methyltransferase
glgB,"1,4-alpha-glucan branching enzyme"
yedF,putative sulfurtransferase YedF
ybjH,uncharacterized protein YbjH
gltJ,glutamate/aspartate ABC transporter membrane subunit GltJ
yhdH,acrylyl-CoA reductase
hcaB,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"
insB5,IS1 protein InsB
yfjQ,CP4-57 prophage; DUF932 domain-containing protein YfjQ
letA,intermembrane transport protein LetA
rpmJ,50S ribosomal subunit protein L36
yieE,putative phosphopantetheinyl transferase
tadA,tRNA adenosine<sup>34</sup> deaminase
yiiG,DUF3829 domain-containing lipoprotein YiiG
glmZ,small regulatory RNA GlmZ
ydfZ,putative selenoprotein YdfZ
glaR,DNA-binding transcriptional repressor GlaR
ycaI,metallo-&beta;-lactamase superfamily inner membrane protein YcaI
letB,lipophilic envelope spanning tunnel
sdhC,"succinate:quinone oxidoreductase, membrane protein SdhC"
leuB,3-isopropylmalate dehydrogenase
livH,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH
yiaD,PF13488 family lipoprotein YiaD
hycE,hydrogenase 3 large subunit
fkpA,peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA
uhpU,small RNA UhpU
blc,outer membrane lipoprotein Blc
malG,maltose ABC transporter membrane subunit MalG
narX,sensor histidine kinase NarX
tsaB,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB subunit"
rsmC,16S rRNA m<sup>2</sup>G1207 methyltransferase
yjeO,DUF2645 domain-containing inner membrane protein YjeO
fhuF,ferric-siderophore reductase FhuF
ppiA,peptidyl-prolyl <i>cis-trans</i> isomerase A
relE,Qin prophage; mRNA interferase toxin RelE
yihT,6-deoxy-6-sulfofructose-1-phosphate aldolase
fimI,putative fimbrial protein FimI
ssuC,aliphatic sulfonate ABC transporter membrane subunit
yjbB,putative inorganic phosphate export protein YjbB
uhpC,UhpC-glucose-6-P // inner membrane protein sensing glucose-6-phosphate
ppsR,phosphoenolpyruvate synthetase regulatory protein
recR,recombination mediator protein RecR
yhbP,putative FMN binding protein YhbP
asnV,tRNA-Asn(GUU)
tig,trigger factor
fsaB,fructose-6-phosphate aldolase 2
cysN,sulfate adenylyltransferase subunit 1
pxpB,5-oxoprolinase component B
gnsA,putative phosphatidylethanolamine synthesis regulator GnsA
amiA,<i>N</i>-acetylmuramoyl-L-alanine amidase A
rplA,50S ribosomal subunit protein L1
aspU,tRNA-Asp(GUC)
btuF,vitamin B<sub>12</sub> ABC transporter periplasmic binding protein
yicH,AsmA family protein YicH
hybG,hydrogenase maturation factor HybG
nikA,nickel ABC transporter periplasmic binding protein
cyaA,adenylate cyclase
dgoT,D-galactonate:H<sup>+</sup> symporter
clsC,cardiolipin synthase C
yraN,PF02021 family protein YraN
yjiT,putative uncharacterized protein YjiT
fabH,3-oxoacyl-[acyl carrier protein] synthase 3
rnt,ribonuclease T
insF3,DLP12 prophage; IS3 element protein InsF
yjfI,DUF2170 domain-containing protein YjfI
yqiH,putative fimbrial chaperone YqiH
tktA,transketolase 1
htrL,protein HtrL
sokA,
ynfC,PF06788 family lipoprotein YnfC
trhP,tRNA wobble base hydroxylation protein TrhP
napD,NapA signal peptide-binding chaperone NapD
rffC,RffC
ppnN,nucleotide 5'-monophosphate nucleosidase
ykgL,uncharacterized protein YkgL
creD,putative inner membrane protein CreD
mdtD,putative multidrug efflux pump MdtD
ptrB,oligopeptidase B
proL,tRNA-Pro(GGG)
pdeI,putative cyclic di-GMP phosphodiesterase PdeI
fecR,ferric citrate regulator FecR
cpxA,sensor histidine kinase CpxA
recG,ATP-dependent DNA helicase RecG
pdxI,pyridoxal reductase
ppdA,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA
ygcS,putative transporter YgcS
ygjK,glycoside hydrolase
mdtL,efflux pump MdtL
djlC,co-chaperone DjlC
msrA,methionine sulfoxide reductase A
rfe,UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase
nagE,N-acetylglucosamine-specific PTS enzyme IIABC component
ybcK,DLP12 prophage; putative recombinase YbcK
cspC,transcription antiterminator and regulator of mRNA stability CspC
fruL,
groS,cochaperonin GroES
ohsC,small regulatory RNA OhsC
yjbL,uncharacterized protein YjbL
wzyE,enterobacterial common antigen polymerase
rsmI,16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase
yjbG,capsule biosynthesis GfcC family protein YjbG
rhoL,<i>rho</i> operon leader peptide
uvrB,UvrABC excision nuclease subunit B
pdxJ,pyridoxine 5'-phosphate synthase
ygiL,putative fimbrial protein YgiL
bcsQ,cellulose biosynthesis protein
dicC,Qin prophage; putative DNA-binding transcriptional regulator DicC
rzoD,DLP12 prophage; putative prophage lysis lipoprotein RzoD
ppiD,periplasmic folding chaperone
rplY,50S ribosomal subunit protein L25
rrlH,23S ribosomal RNA
yhhX,putative oxidoreductase YhhX
b1354,
yegL,IPR002035 domain-containing protein YegL
raiZ,small RNA RaiZ
leuV,tRNA-Leu(CAG)
lptC,lipopolysaccharide transport system protein LptC
kdgK,2-dehydro-3-deoxygluconokinase
ycfL,DUF1425 domain-containing protein YcfL
rne,ribonuclease E
secE,Sec translocon subunit SecE
yfaT,DUF1175 domain-containing protein YfaT
yahV,protein YahV
aceK-int,small RNA AceK-int
pspD,phage shock protein D
ysdE,protein YsdE
ydeR,putative fimbrial protein YdeR
metR,DNA-binding transcriptional dual regulator MetR
fimA,type 1 fimbriae major subunit
rhaT,rhamnose/lyxose:H<sup>+</sup> symporter
galE,UDP-glucose 4-epimerase
npr,Npr-<i>N</i>-phospho-L-histidine // phosphorelay protein NPr
ydeJ,PF02464 family protein YdeJ
yjhU,KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU
yeaG,protein kinase YeaG
bssS,regulator of biofilm formation
ahpC,"alkyl hydroperoxide reductase, AhpC component"
secD,Sec translocon accessory complex subunit SecD
yjhF,KpLE2 phage-like element; putative transporter YjhF
rpsR,30S ribosomal subunit protein S18
lapC,lipopolysaccharide signal transducer LapC
yohJ,putative 3-hydroxypropanoate export protein YohJ
yraI,putative fimbrial chaperone YraI
waaH,UDP-glucuronate:LPS(HepIII) glycosyltransferase
rpoZ,RNA polymerase subunit &omega;
adiA,"arginine decarboxylase, degradative"
yejB,putative oligopeptide ABC transporter membrane subunit YejB
csgI,curli synthesis inhibitor
fic,putative adenosine monophosphate&mdash;protein transferase Fic
bcsC,cellulose synthase outer membrane channel
shiA,shikimate:H+ symporter
trpS,tryptophan&mdash;tRNA ligase
atpC,ATP synthase F<sub>1</sub> complex subunit &epsilon;
frdA,fumarate reductase flavoprotein subunit
ybeF,putative DNA-binding transcriptional regulator YbeF
ruvC,crossover junction endodeoxyribonuclease RuvC
ymjA,DUF2543 domain-containing protein YmjA
acrF,multidrug efflux pump RND permease AcrF
pepA,aminopeptidase A/I
ynfM,putative transporter YnfM
lexA,DNA-binding transcriptional repressor LexA
exoD,DLP12 prophage; putative exonuclease ExoD
pnp,polynucleotide phosphorylase
ydfD,Qin prophage; lysis protein
selO,protein adenylyltransferase SelO
yagM,CP4-6 prophage; protein YagM
mgtA,Mg<sup>2+</sup> importing P-type ATPase
cmtA,mannitol-specific PTS enzyme IICB component CmtA
cydH,cytochrome <i>bd</i>-I accessory subunit CydH
pdxH,pyridoxine/pyridoxamine 5'-phosphate oxidase
dicD,DNA-binding transcriptional regulator DicD
perR,CP4-6 prophage; putative transcriptional regulator PerR
galS,DNA-binding transcriptional dual regulator GalS
lpp,murein lipoprotein
infA,translation initiation factor IF-1
yjjY,uncharacterized protein YjjY
yadE,putative polysaccharide deacetylase lipoprotein YadE
dctA,C4 dicarboxylate/orotate:H<sup>+</sup> symporter
napF,ferredoxin-type protein
rrlD,23S ribosomal RNA
insD7,Qin prophage; putative transposase
sseB,protein SseB
thiB,thiamine ABC transporter periplasmic binding protein
rpoH,RNA polymerase sigma factor RpoH
ymdF,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF
pdeC,cyclic di-GMP phosphodiesterase PdeC
rnlB,CP4-57 prophage; antitoxin RnlB
sroE,small RNA SroE
cybB,superoxide oxidase
ldtA,"L,D-transpeptidase LdtA"
rrlA,23S ribosomal RNA
glpX,"fructose-1,6-bisphosphatase 2"
dnaT,primosomal protein DnaT
folE,GTP cyclohydrolase 1
ylcG,DLP12 prophage; uncharacterized protein YlcG
gntP,fructuronate transporter
yqhA,UPF0114 family protein YqhA
eptB,phosphoethanolamine transferase EptB
yoaK,uncharacterized membrane protein YoaK
leuD,3-isopropylmalate dehydratase subunit LeuD
